rec_file,lig_asl,j
5TQ3_prepared_nowater.maegz,res.ptype '7GZ',5TQ3_gridgen
5TQ4_prepared_nowater.maegz,res.ptype '7GY',5TQ4_gridgen
5TQ5_prepared_nowater.maegz,res.ptype '7GX',5TQ5_gridgen
5TQ6_prepared_nowater.maegz,res.ptype '7GV',5TQ6_gridgen
5TQ7_prepared_nowater.maegz,res.ptype '7GT',5TQ7_gridgen
5TQ8_prepared_nowater.maegz,res.ptype '7GS',5TQ8_gridgen
5TX5_prepared_nowater.maegz,res.ptype '7MJ',5TX5_gridgen
5UIR_prepared_nowater.maegz,res.ptype '8BY',5UIR_gridgen
5UIS_prepared_nowater.maegz,res.ptype '8C1',5UIS_gridgen
5UIT_prepared_nowater.maegz,res.ptype '8CD',5UIT_gridgen
5UIU_prepared_nowater.maegz,res.ptype '8CG',5UIU_gridgen
5UIQ_prepared_nowater.maegz,res.ptype '8BV',5UIQ_gridgen
5VP0_prepared_nowater.maegz,res.ptype '9GJ',5VP0_gridgen
5VP1_prepared_nowater.maegz,res.ptype '9GA',5VP1_gridgen
5V8Q_prepared_nowater.maegz,res.ptype '97A',5V8Q_gridgen
5WHR_prepared_nowater.maegz,res.ptype 'AOJ',5WHR_gridgen
6BBU_prepared_nowater.maegz,res.ptype 'D7D',6BBU_gridgen
6BBV_prepared_nowater.maegz,res.ptype 'D7D',6BBV_gridgen
6B0Z_prepared_nowater.maegz,res.ptype 'FLC',6B0Z_gridgen
6C0S_prepared_nowater.maegz,res.ptype 'EEJ',6C0S_gridgen
6E0B_prepared_nowater.maegz,res.ptype 'JZ8',6E0B_gridgen
6E3Z_prepared_nowater.maegz,res.ptype 'HRV',6E3Z_gridgen
6ENQ_prepared_nowater.maegz,res.ptype 'BJB',6ENQ_gridgen
6H3K_prepared_nowater.maegz,res.ptype '7PE',6H3K_gridgen
6H6Q_prepared_nowater.maegz,res.ptype 'FUK',6H6Q_gridgen
6H6R_prepared_nowater.maegz,res.ptype 'FUE',6H6R_gridgen
6HKX_prepared_nowater.maegz,res.ptype 'GCE',6HKX_gridgen
6HKY_prepared_nowater.maegz,res.ptype 'GCE',6HKY_gridgen
6IWI_prepared_nowater.maegz,res.ptype 'B0C',6IWI_gridgen
6JZ0_prepared_nowater.maegz,res.ptype 'CKO',6JZ0_gridgen
6O3I_prepared_nowater.maegz,res.ptype 'LKP',6O3I_gridgen
6RLN_prepared_nowater.maegz,res.ptype 'K8K',6RLN_gridgen
6RN8_prepared_nowater.maegz,res.ptype 'K9T',6RN8_gridgen
6RNA_prepared_nowater.maegz,res.ptype 'KA2',6RNA_gridgen
6TCZ_prepared_nowater.maegz,res.ptype 'N2E',6TCZ_gridgen
6TD5_prepared_nowater.maegz,res.ptype 'BO2',6TD5_gridgen
6USX_prepared_nowater.maegz,res.ptype 'M1R',6USX_gridgen
6USZ_prepared_nowater.maegz,res.ptype 'QH4',6USZ_gridgen
6UT0_prepared_nowater.maegz,res.ptype 'M1X',6UT0_gridgen
6W35_prepared_nowater.maegz,res.ptype 'SKV',6W35_gridgen
6W50_prepared_nowater.maegz,res.ptype 'SWP',6W50_gridgen
6ZGC_prepared_nowater.maegz,res.ptype 'H8H',6ZGC_gridgen
7D9O_prepared_nowater.maegz,res.ptype 'H0L',7D9O_gridgen
7D9P_prepared_nowater.maegz,res.ptype 'H0R',7D9P_gridgen
7D9Q_prepared_nowater.maegz,res.ptype 'H1R',7D9Q_gridgen
7E9B_prepared_nowater.maegz,res.ptype 'UNK',7E9B_gridgen
7MBO_prepared_nowater.maegz,res.ptype 'YXG',7MBO_gridgen
7M7V_prepared_nowater.maegz,res.ptype 'Z3J',7M7V_gridgen
7N4N_prepared_nowater.maegz,res.ptype '0BK',7N4N_gridgen
7N5O_prepared_nowater.maegz,res.ptype 'PGO',7N5O_gridgen
7N5R_prepared_nowater.maegz,res.ptype '0UW',7N5R_gridgen
7N5X_prepared_nowater.maegz,res.ptype 'PGO',7N5X_gridgen
7N5Y_prepared_nowater.maegz,res.ptype '0CI',7N5Y_gridgen
7N66_prepared_nowater.maegz,res.ptype '0EW',7N66_gridgen
7N91_prepared_nowater.maegz,res.ptype '1RJ',7N91_gridgen
7N93_prepared_nowater.maegz,res.ptype '1SK',7N93_gridgen
7NQQ_prepared_nowater.maegz,res.ptype 'UMN',7NQQ_gridgen
7NQW_prepared_nowater.maegz,res.ptype 'UNW',7NQW_gridgen
7NR3_prepared_nowater.maegz,res.ptype 'UO5',7NR3_gridgen
7NR5_prepared_nowater.maegz,res.ptype 'UOH',7NR5_gridgen
7NR8_prepared_nowater.maegz,res.ptype 'UOE',7NR8_gridgen
7NR9_prepared_nowater.maegz,res.ptype 'UOW',7NR9_gridgen
7QJG_prepared_nowater.maegz,res.ptype 'EKR',7QJG_gridgen
7QJU_prepared_nowater.maegz,res.ptype 'EKF',7QJU_gridgen
7QK4_prepared_nowater.maegz,res.ptype 'EJR',7QK4_gridgen
7QPF_prepared_nowater.maegz,res.ptype 'EFJ',7QPF_gridgen
7QPM_prepared_nowater.maegz,res.ptype 'EEI',7QPM_gridgen
7QPQ_prepared_nowater.maegz,res.ptype 'EIH',7QPQ_gridgen
7QPV_prepared_nowater.maegz,res.ptype 'EHI',7QPV_gridgen
7QQ4_prepared_nowater.maegz,res.ptype 'EIK',7QQ4_gridgen
7RFR_prepared_nowater.maegz,res.ptype '4W8',7RFR_gridgen
7RFS_prepared_nowater.maegz,res.ptype '4WI',7RFS_gridgen
7RFU_prepared_nowater.maegz,res.ptype '4YG',7RFU_gridgen
7RFW_prepared_nowater.maegz,res.ptype '4WI',7RFW_gridgen
7T78_prepared_nowater.maegz,res.ptype 'G2T',7T78_gridgen
7T79_prepared_nowater.maegz,res.ptype 'G1S',7T79_gridgen
7VTH_prepared_nowater.maegz,res.ptype '7XB',7VTH_gridgen
7VU6_prepared_nowater.maegz,res.ptype '7YY',7VU6_gridgen
8C9W_prepared_nowater.maegz,res.ptype 'U30',8C9W_gridgen
8CIC_prepared_nowater.maegz,res.ptype 'U30',8CIC_gridgen
8GBU_prepared_nowater.maegz,res.ptype 'YWE',8GBU_gridgen
8HTR_prepared_nowater.maegz,res.ptype 'MWH',8HTR_gridgen
8HTS_prepared_nowater.maegz,res.ptype 'N2L',8HTS_gridgen
8V4U_prepared_nowater.maegz,res.ptype 'YDL',8V4U_gridgen
9C2R_prepared_nowater.maegz,res.ptype '1PE',9C2R_gridgen
